Country,Subject Descriptor,Units,Scale,Expense
Afghanistan,General government total expenditure,Percent of GDP,,25.878
Albania,General government total expenditure,Percent of GDP,,29.137
Algeria,General government total expenditure,Percent of GDP,,39.205
Angola,General government total expenditure,Percent of GDP,,23.806
Antigua and Barbuda,General government total expenditure,Percent of GDP,,23.243
Argentina,General government total expenditure,Percent of GDP,,41.181
Armenia,General government total expenditure,Percent of GDP,,26.027
Aruba,General government total expenditure,Percent of GDP,,28.353
Australia,General government total expenditure,Percent of GDP,,36.706
Austria,General government total expenditure,Percent of GDP,,48.984
Azerbaijan,General government total expenditure,Percent of GDP,,35.593
The Bahamas,General government total expenditure,Percent of GDP,,22.671
Bahrain,General government total expenditure,Percent of GDP,,32.413
Bangladesh,General government total expenditure,Percent of GDP,,13.56
Barbados,General government total expenditure,Percent of GDP,,32.898
Belarus,General government total expenditure,Percent of GDP,,39.042
Belgium,General government total expenditure,Percent of GDP,,52.131
Belize,General government total expenditure,Percent of GDP,,34.89
Benin,General government total expenditure,Percent of GDP,,17.785
Bhutan,General government total expenditure,Percent of GDP,,30.606
Bolivia,General government total expenditure,Percent of GDP,,38.598
Bosnia and Herzegovina,General government total expenditure,Percent of GDP,,40.681
Botswana,General government total expenditure,Percent of GDP,,31.988
Brazil,General government total expenditure,Percent of GDP,,38.477
Brunei Darussalam,General government total expenditure,Percent of GDP,,36.579
Bulgaria,General government total expenditure,Percent of GDP,,32.548
Burkina Faso,General government total expenditure,Percent of GDP,,29.955
Burundi,General government total expenditure,Percent of GDP,,21.803
Cabo Verde,General government total expenditure,Percent of GDP,,31.572
Cambodia,General government total expenditure,Percent of GDP,,22.375
Cameroon,General government total expenditure,Percent of GDP,,19.827
Canada,General government total expenditure,Percent of GDP,,40.25
Central African Republic,General government total expenditure,Percent of GDP,,13.862
Chad,General government total expenditure,Percent of GDP,,14.88
Chile,General government total expenditure,Percent of GDP,,25.371
China,General government total expenditure,Percent of GDP,,32.179
Colombia,General government total expenditure,Percent of GDP,,28.109
Comoros,General government total expenditure,Percent of GDP,,16.838
Democratic Republic of the Congo,General government total expenditure,Percent of GDP,,10.388
Republic of Congo,General government total expenditure,Percent of GDP,,35.239
Costa Rica,General government total expenditure,Percent of GDP,,20.022
Côte d'Ivoire,General government total expenditure,Percent of GDP,,24.872
Croatia,General government total expenditure,Percent of GDP,,45.321
Cyprus,General government total expenditure,Percent of GDP,,37.123
Czech Republic,General government total expenditure,Percent of GDP,,38.944
Denmark,General government total expenditure,Percent of GDP,,51.158
Djibouti,General government total expenditure,Percent of GDP,,28.123
Dominica,General government total expenditure,Percent of GDP,,54.637
Dominican Republic,General government total expenditure,Percent of GDP,,17.238
Ecuador,General government total expenditure,Percent of GDP,,36.511
Egypt,General government total expenditure,Percent of GDP,,32.19
El Salvador,General government total expenditure,Percent of GDP,,23.939
Equatorial Guinea,General government total expenditure,Percent of GDP,,19.88
Eritrea,General government total expenditure,Percent of GDP,,33.576
Estonia,General government total expenditure,Percent of GDP,,39.007
Eswatini,General government total expenditure,Percent of GDP,,36.642
Ethiopia,General government total expenditure,Percent of GDP,,18.247
Fiji,General government total expenditure,Percent of GDP,,29.404
Finland,General government total expenditure,Percent of GDP,,54.182
France,General government total expenditure,Percent of GDP,,56.38
Gabon,General government total expenditure,Percent of GDP,,18.114
The Gambia,General government total expenditure,Percent of GDP,,24.248
Georgia,General government total expenditure,Percent of GDP,,29.721
Germany,General government total expenditure,Percent of GDP,,44.42
Ghana,General government total expenditure,Percent of GDP,,18.002
Greece,General government total expenditure,Percent of GDP,,47.294
Grenada,General government total expenditure,Percent of GDP,,22.589
Guatemala,General government total expenditure,Percent of GDP,,12.107
Guinea,General government total expenditure,Percent of GDP,,17.377
Guinea-Bissau,General government total expenditure,Percent of GDP,,19.714
Guyana,General government total expenditure,Percent of GDP,,34.83
Haiti,General government total expenditure,Percent of GDP,,17.503
Honduras,General government total expenditure,Percent of GDP,,26.899
Hong Kong SAR,General government total expenditure,Percent of GDP,,17.327
Hungary,General government total expenditure,Percent of GDP,,46.93
Iceland,General government total expenditure,Percent of GDP,,43.346
India,General government total expenditure,Percent of GDP,,26.832
